FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,IMPUTED_RENTS,Including or not including imputed rents,FAM_MAIN_INCOME_SOURCE,Households main income source,TIME_PERIOD,Observation
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2014,30388
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2015,29466
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2016,27567
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2017,26041
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2018,30374
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2019,34737
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2020,31797
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2021,33124
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2022,37911
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,1,Including imputed rents,9,Total,2023,38320
A,Annual,ITC2,"'Valle d""'Aosta / Vallée d""'Aoste'",REDD_MEDIANO_FAM,Annual median households income,2,Not including imputed rents,9,Total,2010,26436
