FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,ACCIDENT_LOCALIZATON,Localization of the accident,INTERSECTION,Intersection (DESC),TY_ROAD_ACCIDENT,Road accident type,RESULT,Result (DESC),PERSON_CLASS,Person class,AGE,Age (DESC),SEX,Sex (DESC),MONTH,Month (DESC),TIME_PERIOD,Observation
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2021,1264
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2022,1299
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2023,1388
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,X,Pedestrian,TOTAL,Total,9,Total,99,Total,2024,1469
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2010,19965
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2011,19332
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2012,17587
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2013,16374
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2014,16463
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2015,16278
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2016,15792
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2017,15783
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2018,15744
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2019,15327
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2020,9837
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2021,13477
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2022,14084
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2023,13918
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,F,Injured,9,Total,TOTAL,Total,9,Total,99,Total,2024,14692
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2010,13231
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2011,12933
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2012,11757
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2013,10794
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2014,10894
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2015,10709
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2016,10593
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2017,10527
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2018,10473
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2019,10202
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2020,6907
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2021,9474
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2022,9839
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2023,9552
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,C,Driver,TOTAL,Total,9,Total,99,Total,2024,10041
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,P,Passenger,TOTAL,Total,9,Total,99,Total,2010,5344
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,P,Passenger,TOTAL,Total,9,Total,99,Total,2011,5015
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,P,Passenger,TOTAL,Total,9,Total,99,Total,2012,4487
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,P,Passenger,TOTAL,Total,9,Total,99,Total,2013,4205
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,P,Passenger,TOTAL,Total,9,Total,99,Total,2014,4044
A,Annual,ITC1,Piemonte,KILLINJ,Killed and injured,9,Total,9,Total,9,Total,9,Total,P,Passenger,TOTAL,Total,9,Total,99,Total,2015,4202
