Data values,Data description,Area code,Area name,Indicator,Notes
,Rate per 100,W01000022,Llanfaethlu,Police recorded burglary per residential dwelling,Confidential
0.23,Rate per 100,W01000022,Llanfaethlu,Fire incidents per at-risk population,
0.52,Rate per 100,W01000023,Llanfair-yn-Neubwll 1,Police recorded violence with injury per at-risk population,
0.55,Rate per 100,W01000023,Llanfair-yn-Neubwll 1,Police recorded public order offences per at-risk population,
0.38,Rate per 100,W01000023,Llanfair-yn-Neubwll 1,Police recorded criminal damage per at-risk population,
0.48,Rate per 100,W01000023,Llanfair-yn-Neubwll 1,Police recorded violence without injury per at-risk population,
1.17,Rate per 100,W01000023,Llanfair-yn-Neubwll 1,Police recorded stalking and harassment per at-risk population,
0.65,Rate per 100,W01000023,Llanfair-yn-Neubwll 1,Police recorded antisocial behaviour per at-risk population,
0.33,Rate per 100,W01000023,Llanfair-yn-Neubwll 1,Police recorded theft per at-risk population,
,Rate per 100,W01000023,Llanfair-yn-Neubwll 1,Police recorded burglary per residential dwelling,Confidential
0.29,Rate per 100,W01000023,Llanfair-yn-Neubwll 1,Fire incidents per at-risk population,
0.5,Rate per 100,W01000024,Llanfair-yn-Neubwll 2,Police recorded violence with injury per at-risk population,
0.64,Rate per 100,W01000024,Llanfair-yn-Neubwll 2,Police recorded public order offences per at-risk population,
0.42,Rate per 100,W01000024,Llanfair-yn-Neubwll 2,Police recorded criminal damage per at-risk population,
0.76,Rate per 100,W01000024,Llanfair-yn-Neubwll 2,Police recorded violence without injury per at-risk population,
1.3,Rate per 100,W01000024,Llanfair-yn-Neubwll 2,Police recorded stalking and harassment per at-risk population,
1.19,Rate per 100,W01000024,Llanfair-yn-Neubwll 2,Police recorded antisocial behaviour per at-risk population,
0.31,Rate per 100,W01000024,Llanfair-yn-Neubwll 2,Police recorded theft per at-risk population,
,Rate per 100,W01000024,Llanfair-yn-Neubwll 2,Police recorded burglary per residential dwelling,Confidential
0.29,Rate per 100,W01000024,Llanfair-yn-Neubwll 2,Fire incidents per at-risk population,
0.32,Rate per 100,W01000025,Llanfihangel Ysgeifiog,Police recorded violence with injury per at-risk population,
0.4,Rate per 100,W01000025,Llanfihangel Ysgeifiog,Police recorded public order offences per at-risk population,
0.31,Rate per 100,W01000025,Llanfihangel Ysgeifiog,Police recorded criminal damage per at-risk population,
0.51,Rate per 100,W01000025,Llanfihangel Ysgeifiog,Police recorded violence without injury per at-risk population,
